x.lo.l,y.lo.l,x.lo.r,y.lo.r,x.med.l,y.med.l,x.med.r,y.med.r,x.hi.l,y.hi.l,x.hi.r,y.hi.r
-1.83680,5.34937,1.84740,-5.33481,-1.79907,5.34928,1.77461,-5.33490,-1.72819,5.34913,1.73495,-5.33505
-1.83680,5.31253,1.84740,-5.29797,-1.79907,5.31244,1.77461,-5.29805,-1.72819,5.31228,1.73495,-5.29821
-1.83680,5.27569,1.84740,-5.26113,-1.79907,5.27560,1.77461,-5.26121,-1.72819,5.27544,1.73495,-5.26137
-1.87364,5.23884,1.84740,-5.22428,-1.79907,5.23876,1.77461,-5.22437,-1.72819,5.23860,1.73495,-5.22453
-1.87364,5.20200,1.84740,-5.18744,-1.79907,5.20192,1.77461,-5.18753,-1.72819,5.20176,1.73495,-5.18769
-1.87364,5.16516,1.84740,-5.15060,-1.79907,5.16507,1.77461,-5.15069,-1.72819,5.16492,1.73495,-5.15084
-1.87364,5.12832,1.84740,-5.11376,-1.79907,5.12823,1.77461,-5.11384,-1.76504,5.12807,1.73495,-5.11400
-1.87364,5.09148,1.84740,-5.07692,-1.79907,5.09139,1.77461,-5.07700,-1.76504,5.09123,1.73495,-5.07716
-1.87364,5.05463,1.84740,-5.04007,-1.79907,5.05455,1.77461,-5.04016,-1.76504,5.05439,1.73495,-5.04032
-1.87364,5.01779,1.84740,-5.00323,-1.79907,5.01771,1.77461,-5.00332,-1.76504,5.01755,1.73495,-5.00348
-1.87364,4.98095,1.84740,-4.96639,-1.79907,4.98086,1.77461,-4.96648,-1.72819,4.98071,1.73495,-4.96663
-1.87364,4.94411,1.84740,-4.92955,-1.79907,4.94402,1.77461,-4.92963,-1.72819,4.94386,1.73495,-4.92979
-1.87364,4.90727,1.84740,-4.89271,-1.79907,4.90718,1.77461,-4.89279,-1.72819,4.90702,1.73495,-4.89295
-1.87364,4.87042,1.84740,-4.85586,-1.79907,4.87034,1.77461,-4.85595,-1.72819,4.87018,1.73495,-4.85611
-1.87364,4.83358,1.84740,-4.81902,-1.79907,4.83350,1.77461,-4.81911,-1.72819,4.83334,1.73495,-4.81927
-1.87364,4.79674,1.84740,-4.78218,-1.79907,4.79665,1.77461,-4.78227,-1.72819,4.79650,1.73495,-4.78242
-1.87364,4.75990,1.84740,-4.74534,-1.79907,4.75981,1.77461,-4.74542,-1.76504,4.75965,1.73495,-4.74558
-1.87364,4.72306,1.84740,-4.70850,-1.79907,4.72297,1.77461,-4.70858,-1.76504,4.72281,1.73495,-4.70874
-1.87364,4.68621,1.84740,-4.67165,-1.79907,4.68613,1.77461,-4.67174,-1.76504,4.68597,1.73495,-4.67190
-1.87364,4.64937,1.84740,-4.63481,-1.79907,4.64929,1.77461,-4.63490,-1.76504,4.64913,1.73495,-4.63506
-1.87364,4.61253,1.84740,-4.59797,-1.79907,4.61244,1.77461,-4.59806,-1.76504,4.61229,1.73495,-4.59821
-1.87364,4.57569,1.84740,-4.56113,-1.79907,4.57560,1.77461,-4.56121,-1.76504,4.57544,1.73495,-4.56137
-1.87364,4.53885,1.84740,-4.52429,-1.79907,4.53876,1.77461,-4.52437,-1.72819,4.53860,1.73495,-4.52453
-1.87364,4.50200,1.84740,-4.48744,-1.79907,4.50192,1.77461,-4.48753,-1.72819,4.50176,1.73495,-4.48769
-1.87364,4.46516,1.84740,-4.45060,-1.79907,4.46508,1.77461,-4.45069,-1.72819,4.46492,1.73495,-4.45085
-1.87364,4.42832,1.84740,-4.41376,-1.79907,4.42823,1.77461,-4.41385,-1.72819,4.42808,1.73495,-4.41400
-1.87364,4.39148,1.84740,-4.37692,-1.79907,4.39139,1.77461,-4.37700,-1.72819,4.39123,1.73495,-4.37716
-1.87364,4.35464,1.84740,-4.34008,-1.79907,4.35455,1.77461,-4.34016,-1.72819,4.35439,1.73495,-4.34032
-1.87364,4.31779,1.84740,-4.30323,-1.79907,4.31771,1.77461,-4.30332,-1.72819,4.31755,1.73495,-4.30348
-1.87364,4.28095,1.84740,-4.26639,-1.79907,4.28087,1.77461,-4.26648,-1.72819,4.28071,1.73495,-4.26664
-1.87364,4.24411,1.84740,-4.22955,-1.79907,4.24402,1.77461,-4.22964,-1.76504,4.24387,1.73495,-4.22979
-1.87364,4.20727,1.84740,-4.19271,-1.79907,4.20718,1.77461,-4.19279,-1.76504,4.20702,1.73495,-4.19295
-1.87364,4.17043,1.84740,-4.15587,-1.79907,4.17034,1.77461,-4.15595,-1.76504,4.17018,1.73495,-4.15611
-1.87364,4.13358,1.84740,-4.11902,-1.83591,4.13350,1.77461,-4.11911,-1.76504,4.13334,1.73495,-4.11927
-1.91048,4.09674,1.84740,-4.08218,-1.83591,4.09666,1.77461,-4.08227,-1.76504,4.09650,1.73495,-4.08243
-1.91048,4.05990,1.84740,-4.04534,-1.83591,4.05981,1.77461,-4.04543,-1.76504,4.05966,1.73495,-4.04558
-1.87364,4.02306,1.84740,-4.00850,-1.83591,4.02297,1.77461,-4.00858,-1.76504,4.02281,1.73495,-4.00874
