[B(52.20 wgt%),Si(47.80 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	12	Si K-L3	0.4658	0.468213
[B(52.20 wgt%),Si(47.80 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	15	Si K-L3	0.4696	0.471335
[B(52.20 wgt%),Si(47.80 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	20	Si K-L3	0.4738	0.47912
[B(52.20 wgt%),Si(47.80 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	25	Si K-L3	0.4758	0.480864
[B(52.20 wgt%),Si(47.80 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	30	Si K-L3	0.476	0.485176
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	4	Si K-L3	0.29	0.288818
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	6	Si K-L3	0.294	0.295874
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	8	Si K-L3	0.2978	0.299453
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	10	Si K-L3	0.3002	0.303589
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	12	Si K-L3	0.3036	0.305054
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	15	Si K-L3	0.3072	0.308936
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	20	Si K-L3	0.312	0.314151
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	25	Si K-L3	0.314	0.316777
[B(68.57 wgt%),Si(31.43 wgt%),Σ=100.00,2.5 g/cc]	Pure silicon	Silicon	Boron	40	30	Si K-L3	0.3156	0.319619
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	6	Ti K-L3	0.7922	0.78748
