MC simulation of a multilayer film [250 nm of Ir,150 nm of Ag,50000 nm of SiO2] at 30.0 keV + CSF + BSF
Characteristic
Type:	Characteristic
# of electrons	10000
# of scattering events	5310407
Transition	Generated (1/mSr)	Transmitted (1/mSr)
O K-L3	61923.04998920576	0.0019193266212753945
Si K-L3	41070.13915781679	4975.242197796298
Si K-M3	700.0727327520234	106.31983530976525
Ag L2-N4	704.6047881845244	152.29673349290448
Ag L3-M5	18067.291101430506	2332.0802576594533
Ir L2-N4	2308.817930908617	2166.170042986504
Ir L3-M5	31191.436591382764	29498.97147723049
Ir M4-N6	72748.53802938698	25871.79909759642
Ir M5-N7	133907.23457260584	88919.59853812626
Bremsstrahlung Fluorescence
Type:	Continuum Fluorescence
# of electrons	10000
# of scattering events	527092
Transition	Generated (1/mSr)	Transmitted (1/mSr)
O K-L3	103.52555277118893	2.640286692023708E-6
Si K-L3	1263.285704036756	62.72658843957147
Si K-M3	21.53369560480959	1.3906916210143812
Ag L2-N4	4.178413405712876	0.8940928339174657
Ag L3-M5	76.26212049552149	9.80053259166033
Ir L2-N4	69.82411890747447	64.96607253218936
Ir L3-M5	691.3343025429193	649.7702053866827
Ir M4-N6	396.38593216025384	134.80373335625757
Ir M5-N7	705.9578567311221	460.15403399544016
Characteristic Fluorescence
Type:	Characteristic Fluorescence
# of electrons	10000
# of scattering events	530392
Transition	Generated (1/mSr)	Transmitted (1/mSr)
O K-L3	177.35146463773773	3.5777712693270493E-6
Si K-L3	1695.1712273626329	162.15408096116744
Si K-M3	28.895523072430596	3.4843345141697375
Ag L2-N4	0.8470354622594748	0.18272153666540503
Ag L3-M5	19.202383478978266	2.475396326539207
Ir L2-N4	1.1797808340292961	1.1003296313980815
Ir L3-M5	49.23575467545116	46.34938753277326
Ir M4-N6	123.1659925736595	39.18896259772272
Ir M5-N7	859.8446546318589	561.0899057807043
