ecd.nm, circ, a.r, solidity
55.79, 0.8831, 1.0371, 0.9441
51.02, 0.8662, 1.0699, 0.9312
55.74, 0.8705, 1.0281, 0.9403
51.68, 0.8959, 1.0267, 0.9303
59.13, 0.8602, 1.0406, 0.9283
57.66, 0.8730, 1.0731, 0.9364
51.07, 0.9048, 1.1284, 0.9348
59.66, 0.8755, 1.0793, 0.9364
52.72, 0.8782, 1.0560, 0.9345
55.04, 0.8505, 1.0334, 0.9426
51.58, 0.8565, 1.1034, 0.9225
56.71, 0.8852, 1.0341, 0.9443
60.13, 0.8258, 1.0683, 0.9268
52.67, 0.8076, 1.0565, 0.9255
50.71, 0.8798, 1.0548, 0.9331
50.51, 0.8441, 1.1080, 0.9273
55.27, 0.8061, 1.0902, 0.9202
52.67, 0.8814, 1.0698, 0.9401
53.36, 0.8332, 1.0225, 0.9241
52.18, 0.9185, 1.0473, 0.9536
55.55, 0.9370, 1.0733, 0.9596
57.75, 0.8956, 1.0598, 0.9511
52.23, 0.8903, 1.0414, 0.9284
55.36, 0.8971, 1.0624, 0.9395
53.55, 0.8613, 1.0286, 0.9348
57.89, 0.8998, 1.0621, 0.9471
58.33, 0.9091, 1.0357, 0.9507
52.08, 0.8636, 1.0153, 0.9255
56.20, 0.8606, 1.0254, 0.9354
58.47, 0.8760, 1.0035, 0.9427
53.65, 0.8065, 1.0975, 0.9067
56.30, 0.8634, 1.0806, 0.9356
54.03, 0.8817, 1.0638, 0.9414
51.98, 0.9243, 1.0112, 0.9463
55.08, 0.8047, 1.0915, 0.9139
53.16, 0.9000, 1.0441, 0.9315
54.18, 0.8981, 1.0479, 0.9464
50.92, 0.8942, 1.0595, 0.9389
54.08, 0.8111, 1.0209, 0.9147
57.07, 0.8658, 1.0309, 0.9386
58.73, 0.8840, 1.0629, 0.9459
54.94, 0.8164, 1.0502, 0.9092
53.31, 0.8361, 1.0733, 0.9201
54.18, 0.9031, 1.0437, 0.9448
56.43, 0.8361, 1.0996, 0.9218
54.56, 0.8601, 1.0840, 0.9220
55.55, 0.8803, 1.0607, 0.9347
58.11, 0.8777, 1.0447, 0.9420
54.27, 0.8896, 1.0193, 0.9419
54.51, 0.8327, 1.0758, 0.9196
53.45, 0.8582, 1.0206, 0.9275
51.83, 0.9063, 1.0188, 0.9417
57.39, 0.8754, 1.1020, 0.9365
58.25, 0.8888, 1.0394, 0.9443
49.31, 0.8091, 1.1252, 0.9079
53.11, 0.8795, 1.0454, 0.9394
55.32, 0.8702, 1.0239, 0.9239
50.25, 0.9118, 1.0110, 0.9492
52.47, 0.8988, 1.0831, 0.9447
51.63, 0.8699, 1.0235, 0.9310
57.53, 0.8297, 1.0738, 0.9219
48.67, 0.8806, 1.0894, 0.9287
57.75, 0.8956, 1.0637, 0.9427
56.75, 0.8712, 1.0629, 0.9366
48.99, 0.8165, 1.0494, 0.9050
58.16, 0.9081, 1.0162, 0.9504
56.62, 0.8982, 1.0287, 0.9463
51.88, 0.8503, 1.0277, 0.9342
54.66, 0.8370, 1.0827, 0.9312
52.77, 0.8364, 1.0646, 0.9202
53.84, 0.8183, 1.0244, 0.9155
53.41, 0.8727, 1.0786, 0.9235
54.66, 0.8856, 1.0202, 0.9411
56.75, 0.9025, 1.0903, 0.9466
54.27, 0.9307, 1.0433, 0.9513
55.04, 0.8234, 1.0576, 0.9109
55.41, 0.8918, 1.0688, 0.9426
49.41, 0.9209, 1.0337, 0.9495
59.87, 0.8434, 1.0299, 0.9312
49.83, 0.8863, 1.0676, 0.9255
56.71, 0.8964, 1.0156, 0.9422
55.60, 0.8999, 1.0602, 0.9429
56.98, 0.8846, 1.0122, 0.9342
53.94, 0.8853, 1.0599, 0.9428
48.94, 0.8827, 1.1017, 0.9466
51.78, 0.8632, 1.0335, 0.9365
55.27, 0.8427, 1.1422, 0.9231
51.73, 0.8520, 1.0636, 0.9321
53.21, 0.8779, 1.1048, 0.9245
59.44, 0.8255, 1.0586, 0.9195
53.45, 0.8362, 1.1167, 0.9213
46.77, 0.8249, 1.0185, 0.9103
56.30, 0.8678, 1.0624, 0.9313
54.37, 0.8240, 1.0651, 0.9163
49.73, 0.8296, 1.0904, 0.9243
48.94, 0.8194, 1.0260, 0.9202
55.55, 0.8869, 1.0784, 0.9459
47.97, 0.8194, 1.0721, 0.9181
55.65, 0.8479, 1.0799, 0.9283
59.70, 0.8666, 1.0656, 0.9397
55.65, 0.8631, 1.0311, 0.9430
51.68, 0.8390, 1.0491, 0.9245
54.85, 0.9154, 1.0165, 0.9461
55.46, 0.8933, 1.0512, 0.9442
57.35, 0.8722, 1.0237, 0.9371
52.03, 0.8552, 1.0600, 0.9312
59.17, 0.8573, 1.0503, 0.9400
51.32, 0.8887, 1.0398, 0.9380
14.05, 0.8193, 1.9405, 0.8736
51.52, 0.8785, 1.0506, 0.9342
58.51, 0.8669, 1.0406, 0.9387
56.53, 0.8841, 1.0458, 0.9396
51.17, 0.9010, 1.0477, 0.9421
55.74, 0.8770, 1.0397, 0.9366
54.61, 0.8525, 1.0824, 0.9162
52.23, 0.8617, 1.0192, 0.9300
56.53, 0.8474, 1.0275, 0.9227
49.89, 0.8756, 1.0375, 0.9328
54.75, 0.8726, 1.0302, 0.9405
59.48, 0.8808, 1.0656, 0.9505
59.04, 0.8576, 1.0449, 0.9287
53.75, 0.8790, 1.0274, 0.9352
50.30, 0.8656, 1.0047, 0.9223
51.17, 0.8432, 1.0685, 0.9256
50.46, 0.8540, 1.1154, 0.9167
59.52, 0.8108, 1.0356, 0.9317
