ecd.nm, circ, a.r, solidity
55.13, 0.9108, 1.0595, 0.9528
57.30, 0.8771, 1.0747, 0.9475
55.41, 0.9103, 1.0649, 0.9426
57.84, 0.8388, 1.0209, 0.9266
54.23, 0.8948, 1.0554, 0.9363
57.66, 0.8901, 1.0903, 0.9467
47.16, 0.8510, 1.1882, 0.9155
56.89, 0.8909, 1.0423, 0.9432
58.69, 0.8827, 1.0697, 0.9478
57.07, 0.8614, 1.0519, 0.9365
50.51, 0.8976, 1.1057, 0.9388
51.93, 0.8994, 1.0274, 0.9445
55.32, 0.8748, 1.0683, 0.9283
52.52, 0.8716, 1.0079, 0.9291
52.57, 0.8194, 1.0803, 0.9180
53.65, 0.8924, 1.0726, 0.9366
56.06, 0.8716, 1.0599, 0.9358
50.87, 0.8445, 1.0903, 0.9265
49.26, 0.8942, 1.0607, 0.9378
52.57, 0.8194, 1.1341, 0.9196
55.69, 0.9077, 1.0484, 0.9431
53.99, 0.9036, 1.0394, 0.9405
56.16, 0.8790, 1.0353, 0.9389
49.83, 0.8968, 1.0465, 0.9419
51.37, 0.8905, 1.0395, 0.9451
53.41, 0.8501, 1.0428, 0.9211
59.92, 0.8894, 1.0506, 0.9401
51.93, 0.9355, 1.0322, 0.9462
50.66, 0.8853, 1.0871, 0.9374
54.99, 0.8690, 1.0248, 0.9372
57.21, 0.8898, 1.0935, 0.9396
55.32, 0.9023, 1.0609, 0.9439
53.02, 0.8880, 1.0535, 0.9384
57.03, 0.8293, 1.0994, 0.9274
51.73, 0.8295, 1.0734, 0.9164
55.46, 0.9118, 1.0059, 0.9487
55.36, 0.8809, 1.0386, 0.9328
58.60, 0.8952, 1.0834, 0.9477
54.85, 0.8851, 1.0493, 0.9369
52.52, 0.9107, 1.0486, 0.9491
52.18, 0.8554, 1.0371, 0.9283
58.25, 0.8694, 1.0626, 0.9369
51.93, 0.9046, 1.0682, 0.9411
58.42, 0.9053, 1.0175, 0.9460
51.88, 0.9080, 1.0381, 0.9410
56.43, 0.8526, 1.0748, 0.9302
53.26, 0.8365, 1.0531, 0.9278
56.98, 0.8827, 1.0457, 0.9455
55.18, 0.8424, 1.1122, 0.9279
50.40, 0.8200, 1.0834, 0.9132
52.92, 0.8195, 1.0261, 0.9089
56.34, 0.8275, 1.0908, 0.9265
51.07, 0.9177, 1.0620, 0.9357
51.32, 0.8276, 1.0269, 0.9160
59.17, 0.8334, 1.0559, 0.9227
50.87, 0.8351, 1.1189, 0.9163
49.94, 0.9006, 1.0511, 0.9320
56.94, 0.8660, 1.1266, 0.9433
52.52, 0.9005, 1.0774, 0.9382
56.11, 0.9001, 1.0297, 0.9410
57.62, 0.9091, 1.0441, 0.9432
50.56, 0.9364, 1.0500, 0.9489
57.44, 0.8969, 1.0504, 0.9449
54.13, 0.8687, 1.0506, 0.9431
58.11, 0.8550, 1.0135, 0.9319
55.97, 0.9051, 1.0790, 0.9393
58.25, 0.8907, 1.0752, 0.9430
59.96, 0.8802, 1.0443, 0.9370
57.07, 0.8640, 1.0396, 0.9365
56.80, 0.8881, 1.0425, 0.9381
52.52, 0.8600, 1.0888, 0.9243
51.22, 0.8802, 1.0412, 0.9326
52.18, 0.8601, 1.0311, 0.9399
54.99, 0.8428, 1.1055, 0.9260
53.41, 0.8843, 1.0359, 0.9361
56.98, 0.8279, 1.0363, 0.9280
54.32, 0.9149, 1.0594, 0.9467
53.45, 0.8517, 1.0638, 0.9314
52.37, 0.8239, 1.0653, 0.9088
48.19, 0.8407, 1.0433, 0.9236
55.36, 0.8481, 1.0243, 0.9233
54.75, 0.9052, 1.0808, 0.9444
59.48, 0.8461, 1.0596, 0.9246
50.81, 0.8712, 1.0620, 0.9333
55.18, 0.9194, 1.0704, 0.9498
54.51, 0.8541, 1.0400, 0.9211
59.09, 0.8947, 1.0293, 0.9438
55.65, 0.9110, 1.0627, 0.9521
53.79, 0.8625, 1.0701, 0.9385
49.26, 0.9150, 1.0518, 0.9434
54.18, 0.9101, 1.0239, 0.9488
51.12, 0.8868, 1.0412, 0.9464
56.62, 0.8778, 1.0689, 0.9398
54.75, 0.8356, 1.0507, 0.9181
49.83, 0.8738, 1.0950, 0.9345
59.04, 0.8435, 1.0602, 0.9372
64.95, 0.8436, 1.1035, 0.9328
58.91, 0.8580, 1.0689, 0.9271
60.00, 0.9385, 1.0105, 0.9618
51.32, 0.8816, 1.0829, 0.9415
55.69, 0.8538, 1.1079, 0.9285
56.30, 0.9205, 1.0521, 0.9524
56.62, 0.8778, 1.0775, 0.9391
55.08, 0.9459, 1.0460, 0.9605
54.56, 0.8941, 1.0681, 0.9409
52.57, 0.8971, 1.0465, 0.9374
55.79, 0.8674, 1.0624, 0.9345
53.84, 0.8394, 1.0392, 0.9292
53.31, 0.8082, 1.0441, 0.9319
55.65, 0.8089, 1.0804, 0.9127
55.36, 0.8273, 1.0360, 0.9262
57.89, 0.8998, 1.0778, 0.9457
50.76, 0.8479, 1.0613, 0.9168
54.56, 0.8712, 1.0802, 0.9347
57.75, 0.9229, 1.0481, 0.9568
58.91, 0.9205, 1.0169, 0.9563
52.77, 0.8798, 1.0863, 0.9404
60.61, 0.8683, 1.0623, 0.9408
57.66, 0.8774, 1.0046, 0.9370
53.41, 0.8347, 1.1131, 0.9165
60.35, 0.8626, 1.0631, 0.9272
56.89, 0.8799, 1.0237, 0.9375
54.47, 0.8748, 1.1050, 0.9262
51.27, 0.8533, 1.0073, 0.9225
52.87, 0.9000, 1.0600, 0.9447
60.43, 0.8985, 1.0174, 0.9436
56.43, 0.8766, 1.0229, 0.9424
52.23, 0.8457, 1.0592, 0.9267
53.60, 0.8629, 1.0159, 0.9325
56.75, 0.9025, 1.0430, 0.9466
57.39, 0.9001, 1.0740, 0.9534
54.03, 0.8769, 1.0539, 0.9461
60.00, 0.8963, 1.0351, 0.9441
47.54, 0.8230, 1.0744, 0.9255
55.79, 0.8212, 1.0720, 0.9359
54.27, 0.9063, 1.0833, 0.9466
56.62, 0.9096, 1.0211, 0.9536
58.95, 0.8122, 1.1802, 0.9240
54.51, 0.9093, 1.0478, 0.9470
54.08, 0.8833, 1.0575, 0.9446
60.35, 0.9112, 1.0367, 0.9550
50.15, 0.8900, 1.0434, 0.9362
57.03, 0.8436, 1.0771, 0.9288
57.71, 0.8896, 1.0855, 0.9433
56.89, 0.9117, 1.0502, 0.9497
51.22, 0.8976, 1.0359, 0.9430
53.60, 0.9128, 1.0574, 0.9469
53.36, 0.8532, 1.0538, 0.9360
54.42, 0.8620, 1.0499, 0.9390
52.82, 0.8884, 1.1076, 0.9388
50.71, 0.8798, 1.0433, 0.9357
57.53, 0.8566, 1.0333, 0.9347
57.07, 0.8856, 1.0447, 0.9400
49.83, 0.8217, 1.0652, 0.9327
57.93, 0.8498, 1.0319, 0.9262
57.03, 0.8796, 1.0365, 0.9392
55.55, 0.8647, 1.0465, 0.9354
52.52, 0.8506, 1.0952, 0.9275
52.97, 0.8631, 1.1270, 0.9318
52.52, 0.8764, 1.0582, 0.9432
60.99, 0.8244, 1.0995, 0.9293
54.70, 0.8920, 1.0461, 0.9404
51.47, 0.8418, 1.0700, 0.9324
54.70, 0.8492, 1.0395, 0.9290
49.99, 0.8897, 1.0996, 0.9431
52.72, 0.8240, 1.0873, 0.9177
54.32, 0.8481, 1.0823, 0.9451
53.79, 0.8952, 1.0466, 0.9425
53.36, 0.8925, 1.0124, 0.9424
53.16, 0.8979, 1.0484, 0.9420
50.56, 0.8575, 1.1063, 0.9103
50.76, 0.8694, 1.0719, 0.9271
54.13, 0.8801, 1.0251, 0.9439
49.89, 0.8188, 1.0476, 0.9124
54.99, 0.8580, 1.0971, 0.9327
51.93, 0.9046, 1.0366, 0.9402
49.89, 0.8514, 1.0533, 0.9374
57.98, 0.9026, 1.0887, 0.9418
57.39, 0.8160, 1.0219, 0.9310
54.80, 0.8741, 1.0532, 0.9345
54.75, 0.8726, 1.0296, 0.9352
58.82, 0.8140, 1.0676, 0.9341
54.37, 0.8717, 1.0307, 0.9328
56.11, 0.8325, 1.0826, 0.9259
53.70, 0.8660, 1.0589, 0.9336
54.99, 0.8849, 1.0140, 0.9372
54.13, 0.8024, 1.0219, 0.9148
53.89, 0.9104, 1.0142, 0.9451
53.31, 0.8601, 1.1072, 0.9201
53.94, 0.8672, 1.0513, 0.9420
54.03, 0.8285, 1.1126, 0.9236
56.48, 0.9052, 1.0462, 0.9453
49.62, 0.8357, 1.0596, 0.9322
52.13, 0.8378, 1.0328, 0.9240
53.55, 0.9235, 1.0767, 0.9534
59.13, 0.8419, 1.1075, 0.9367
56.48, 0.9052, 1.0676, 0.9388
64.23, 0.8322, 1.0522, 0.9498
52.03, 0.8174, 1.0072, 0.9156
52.67, 0.8884, 1.0230, 0.9418
54.42, 0.8556, 1.0167, 0.9299
56.80, 0.8835, 1.0309, 0.9374
54.42, 0.8827, 1.0918, 0.9445
57.35, 0.8530, 1.0858, 0.9323
55.51, 0.8901, 1.0488, 0.9488
61.12, 0.8629, 1.0721, 0.9393
56.75, 0.8978, 1.0637, 0.9415
53.99, 0.8869, 1.0469, 0.9397
59.22, 0.8879, 1.0809, 0.9460
56.20, 0.8714, 1.0923, 0.9268
53.60, 0.8563, 1.0919, 0.9325
52.82, 0.8934, 1.0628, 0.9355
61.08, 0.8964, 1.0666, 0.9466
58.38, 0.8151, 1.0359, 0.9298
54.51, 0.8810, 1.0914, 0.9286
55.55, 0.9031, 1.0171, 0.9504
52.37, 0.8833, 1.0767, 0.9403
50.15, 0.8273, 1.0895, 0.9228
53.99, 0.8707, 1.0946, 0.9327
57.62, 0.8760, 1.0657, 0.9315
56.02, 0.8838, 1.0719, 0.9401
50.92, 0.8530, 1.0737, 0.9310
55.41, 0.8713, 1.0159, 0.9396
58.56, 0.9322, 1.0167, 0.9524
55.13, 0.8895, 1.0106, 0.9398
54.18, 0.8286, 1.0804, 0.9270
56.48, 0.8938, 1.0490, 0.9468
60.43, 0.9030, 1.0167, 0.9584
57.26, 0.8931, 1.1113, 0.9411
58.95, 0.8907, 1.0199, 0.9530
53.94, 0.8902, 1.0838, 0.9404
56.20, 0.8695, 1.0471, 0.9332
53.55, 0.8199, 1.1037, 0.9162
54.80, 0.8649, 1.1058, 0.9383
50.15, 0.8826, 1.0099, 0.9362
55.13, 0.8895, 1.0611, 0.9375
60.69, 0.8707, 1.0064, 0.9428
53.94, 0.9141, 1.0643, 0.9404
50.87, 0.8561, 1.0715, 0.9265
51.12, 0.8767, 1.0249, 0.9332
55.18, 0.9144, 1.0177, 0.9482
50.81, 0.9010, 1.0698, 0.9386
58.42, 0.8898, 1.0257, 0.9474
24.34, 0.9364, 1.1539, 0.9048
54.18, 0.9080, 1.0945, 0.9504
48.73, 0.8772, 1.0642, 0.9279
54.13, 0.8421, 1.0452, 0.9253
56.02, 0.8747, 1.0659, 0.9445
51.37, 0.9134, 1.0917, 0.9567
45.70, 0.8112, 1.1349, 0.9105
49.05, 0.9072, 1.0540, 0.9372
56.34, 0.9007, 1.0142, 0.9451
52.92, 0.8682, 1.0663, 0.9358
56.80, 0.8771, 1.0198, 0.9374
49.83, 0.8968, 1.0337, 0.9373
54.42, 0.8620, 1.0369, 0.9238
52.42, 0.8521, 1.1064, 0.9297
53.36, 0.8827, 1.0845, 0.9368
48.35, 0.9137, 1.0196, 0.9414
54.37, 0.8811, 1.0118, 0.9468
53.89, 0.9004, 1.0248, 0.9427
57.30, 0.8664, 1.0252, 0.9447
52.37, 0.8458, 1.0971, 0.9207
54.89, 0.8338, 1.0676, 0.9236
54.99, 0.8802, 1.0907, 0.9417
55.46, 0.8510, 1.0643, 0.9352
55.41, 0.8824, 1.0532, 0.9418
51.32, 0.8388, 1.0377, 0.9294
54.37, 0.8283, 1.0299, 0.9267
59.31, 0.8125, 1.0950, 0.9173
49.83, 0.9366, 1.0169, 0.9503
55.88, 0.9187, 1.0301, 0.9472
52.57, 0.8971, 1.0659, 0.9408
54.51, 0.8906, 1.0520, 0.9502
54.56, 0.8778, 1.0212, 0.9355
54.99, 0.9012, 1.0510, 0.9487
53.55, 0.8286, 1.0618, 0.9254
52.18, 0.8816, 1.0834, 0.9391
52.77, 0.8455, 1.0226, 0.9338
51.47, 0.8767, 1.0884, 0.9358
56.85, 0.8695, 1.0908, 0.9318
47.97, 0.9051, 1.1075, 0.9446
55.60, 0.8616, 1.0511, 0.9341
58.07, 0.8295, 1.0015, 0.9271
55.32, 0.8888, 1.0219, 0.9462
59.74, 0.8696, 1.0671, 0.9430
52.92, 0.8682, 1.0340, 0.9350
56.34, 0.9007, 1.0602, 0.9466
59.09, 0.8349, 1.0899, 0.9346
48.99, 0.8445, 1.0293, 0.9203
52.37, 0.8505, 1.0853, 0.9247
48.57, 0.8641, 1.0535, 0.9228
48.46, 0.8603, 1.0647, 0.9339
58.16, 0.9035, 1.0777, 0.9511
52.08, 0.9098, 1.0402, 0.9439
58.95, 0.8713, 1.0361, 0.9350
52.18, 0.8669, 1.0758, 0.9324
56.02, 0.8951, 1.0659, 0.9467
58.78, 0.8853, 1.0573, 0.9433
58.16, 0.8338, 1.0435, 0.9307
55.08, 0.8105, 1.0826, 0.9226
55.92, 0.8521, 1.0532, 0.9290
57.30, 0.8880, 1.0499, 0.9384
56.43, 0.8361, 1.0341, 0.9232
53.21, 0.8550, 1.0825, 0.9324
54.27, 0.8254, 1.0676, 0.9426
55.65, 0.8586, 1.0303, 0.9327
50.61, 0.8642, 1.0374, 0.9276
41.59, 0.8579, 1.0935, 0.9074
57.53, 0.9157, 1.0382, 0.9543
59.70, 0.8289, 1.0567, 0.9443
55.08, 0.8609, 1.0755, 0.9329
54.70, 0.8758, 1.0427, 0.9305
52.37, 0.8954, 1.0443, 0.9329
57.21, 0.8852, 1.0637, 0.9481
57.80, 0.9035, 1.0889, 0.9477
55.51, 0.9085, 1.0293, 0.9443
54.70, 0.8872, 1.0511, 0.9435
55.97, 0.8732, 1.0764, 0.9327
55.55, 0.8602, 1.0478, 0.9274
54.56, 0.8212, 1.0868, 0.9197
55.22, 0.8858, 1.0780, 0.9445
52.23, 0.8130, 1.0877, 0.9194
55.13, 0.8061, 1.0726, 0.9220
54.03, 0.8817, 1.1067, 0.9430
52.42, 0.8920, 1.0378, 0.9338
49.10, 0.8482, 1.0601, 0.9252
54.80, 0.8370, 1.0559, 0.9248
52.82, 0.8379, 1.0688, 0.9275
52.08, 0.8733, 1.0703, 0.9321
58.73, 0.8405, 1.0511, 0.9313
49.57, 0.8697, 1.0675, 0.9311
54.08, 0.9119, 1.0709, 0.9470
54.75, 0.8125, 1.1008, 0.9173
52.87, 0.8033, 1.1366, 0.9236
54.75, 0.8252, 1.0167, 0.9329
53.11, 0.8795, 1.0446, 0.9386
51.27, 0.8819, 1.1207, 0.9379
53.21, 0.8394, 1.0870, 0.9183
57.75, 0.8713, 1.0474, 0.9400
55.65, 0.8418, 1.0291, 0.9298
55.36, 0.8809, 1.0702, 0.9321
50.35, 0.8342, 1.0896, 0.9216
54.94, 0.8997, 1.0148, 0.9532
50.56, 0.8695, 1.0768, 0.9371
49.94, 0.9006, 1.0579, 0.9366
56.71, 0.8852, 1.0167, 0.9379
53.75, 0.8409, 1.0542, 0.9205
53.16, 0.8601, 1.0426, 0.9307
47.81, 0.8425, 1.0570, 0.9205
52.42, 0.8043, 1.0251, 0.9273
59.44, 0.8839, 1.0535, 0.9412
55.97, 0.9051, 1.0472, 0.9422
53.36, 0.9421, 1.0643, 0.9539
54.13, 0.8801, 1.0296, 0.9315
56.20, 0.8482, 1.0374, 0.9404
52.08, 0.8684, 1.0163, 0.9198
52.33, 0.8650, 1.1102, 0.9327
53.79, 0.8273, 1.0068, 0.9207
52.03, 0.8505, 1.0660, 0.9173
51.58, 0.8924, 1.0621, 0.9352
57.26, 0.8401, 1.0300, 0.9245
54.32, 0.8636, 1.0260, 0.9443
57.66, 0.8882, 1.0384, 0.9426
52.23, 0.8734, 1.1227, 0.9325
52.57, 0.8801, 1.0538, 0.9284
60.95, 0.8598, 1.0473, 0.9402
56.02, 0.8298, 1.0238, 0.9214
52.28, 0.8539, 1.0223, 0.9220
56.62, 0.8982, 1.0809, 0.9485
54.13, 0.8594, 1.0318, 0.9315
56.43, 0.8658, 1.0293, 0.9274
54.66, 0.8181, 1.0317, 0.9304
53.84, 0.8183, 1.0334, 0.9015
51.07, 0.8923, 1.0385, 0.9436
57.53, 0.8951, 1.0491, 0.9409
55.32, 0.8748, 1.0356, 0.9312
56.48, 0.9052, 1.0428, 0.9403
59.00, 0.9028, 1.0464, 0.9483
54.56, 0.8990, 1.0173, 0.9495
55.74, 0.8552, 1.0614, 0.9410
54.89, 0.8772, 1.0564, 0.9340
51.02, 0.8732, 1.1141, 0.9235
58.95, 0.8907, 1.0120, 0.9456
56.66, 0.8049, 1.0401, 0.9203
57.71, 0.8058, 1.1484, 0.9112
51.27, 0.8870, 1.0283, 0.9362
56.02, 0.8444, 1.0611, 0.9165
55.41, 0.8938, 1.0752, 0.9471
46.38, 0.8232, 1.1131, 0.9190
52.72, 0.8782, 1.0146, 0.9329
52.72, 0.8329, 1.0768, 0.9394
52.97, 0.8185, 1.0760, 0.9153
52.37, 0.9203, 1.0514, 0.9462
50.87, 0.8730, 1.0371, 0.9248
51.07, 0.8749, 1.0142, 0.9314
51.12, 0.8598, 1.0406, 0.9229
53.60, 0.8957, 1.0188, 0.9389
57.35, 0.8741, 1.0553, 0.9316
52.62, 0.8585, 1.0851, 0.9286
54.08, 0.9241, 1.0464, 0.9502
54.89, 0.8886, 1.0265, 0.9500
54.66, 0.8432, 1.1146, 0.9244
54.18, 0.9202, 1.0148, 0.9512
51.58, 0.9153, 1.0396, 0.9499
61.33, 0.8550, 1.0143, 0.9390
49.94, 0.8532, 1.0509, 0.9275
50.30, 0.8656, 1.1622, 0.9294
56.02, 0.9018, 1.0114, 0.9438
53.36, 0.8827, 1.0685, 0.9360
51.27, 0.8699, 1.0222, 0.9293
44.26, 0.8632, 1.0647, 0.9206
59.87, 0.8674, 1.0383, 0.9318
58.47, 0.8329, 1.1387, 0.9255
59.13, 0.8662, 1.0443, 0.9276
53.21, 0.8779, 1.0419, 0.9372
56.25, 0.9025, 1.0107, 0.9457
54.03, 0.8656, 1.0781, 0.9343
49.94, 0.8826, 1.0483, 0.9393
49.47, 0.8372, 1.1312, 0.9217
